# vehicle_config_id,display_name
# Master list of vehicle IDs + names for the GM Vehicle panel.
# Populated from community-sourced "vehicle id - sorted (1).txt".
# Read by ClientToGameserver.LoadVehicleDisplayNames() on first GetVehicleDisplayName() call.
81007087,Smove SR-5 - Mazda Miata MX-5 ND
81007088,Korou Isuzu Elf-like Refrigerator Truck [Roo-rush Livery]
81007089,Shikage Excellent - Scooter
81007090,Kazama CRN6 - Toyota Comfort
81007091,Korou Isuzu Elf-like Cargo Truck [Vault Security Livery]
81007092,Korou Isuzu Elf-like Cargo Truck
81007093,Kazama Highland Sandstrom 200 - Toyota Land Cruiser 1958 (2024) [Broken Model]
81007094,Firetruck (Dirty Water) [Marine Livery]
81007095,Freelander Yeti MK2 - Milk Van (Broken Animations)
81007096,Sunset Spider [Broken Textures, Undrivable]
