zone_index,x,y,z,period_count,current_period_index,next_period_index,rail_period_index,open_lanes,period_open_lanes,period_light_flags
246,1882.53466796875,-0.10493999719619751,1481.580810546875,2,0,1,0,1501;1502;1503,0:|1:1501;1502;1503,"0:2,2|1:4,4"
248,2867.16845703125,-0.10999999940395355,1609.043701171875,2,0,1,0,1508;1509;1510,0:|1:1508;1509;1510,"0:2,2|1:4,4"
292,3645.11865234375,-0.10999999940395355,2702.648193359375,4,0,1,0,1764;1765;1766;1767;1768;1769;1770;1771,0:1765;1770;1771|1:1764;1765;1766;1767;1768;1771|2:1765;1767;1768;1769;1771|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
294,2422.218994140625,-0.10999999940395355,1111.4688720703125,4,0,1,0,1793;1794;1795;1796;1797;1798;1799;1800,0:1796;1797;1798;1799|1:1794;1796;1797;1799;1800|2:1793;1794;1795;1796;1797;1799|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
346,964.6407470703125,-0.10999999940395355,1958.6015625,4,0,1,0,2106;2107;2108;2109;2110;2111;2112,0:2107;2111;2112|1:2106;2107;2108;2109;2111|2:2107;2109;2110;2111|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
357,2154.53076171875,-0.09820500016212463,2235.298095703125,6,0,1,0,2179;2180;2181;2182;2183;2184;2185;2186;2187;2188;2189;2190;2191;2192;2193;2194,0:2179;2182;2187;2189|1:2179;2180;2182;2183;2187;2188;2189;2194|2:2180;2181;2183;2188;2190;2194|3:2184;2186;2192;2193|4:2180;2183;2184;2186;2188;2192;2193;2194|5:2180;2183;2185;2188;2191;2194,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
386,2586.0029296875,-0.10999999940395355,2571.558837890625,2,0,1,0,2348;2349;2350,0:|1:2348;2349;2350,"0:2,2|1:4,4"
395,1846.4744873046875,-0.10999999940395355,1309.15087890625,4,0,1,0,2399;2400;2401;2402;2403;2404;2405;2406,0:2402;2403;2404;2405|1:2400;2402;2403;2405;2406|2:2399;2400;2401;2402;2403;2405|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
401,3210.81494140625,-0.10999999940395355,856.6865234375,2,0,1,0,2432;2433;2434;2435,0:|1:2432;2433;2434;2435,"0:2,2|1:4,4"
446,298.35626220703125,-0.10999999940395355,2084.3564453125,4,0,1,0,2716;2717;2718;2719;2720;2721;2722;2723,0:2716;2717;2718;2719;2720|1:2717;2719;2720;2721;2723|2:2717;2719;2720;2722;2723|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
460,1720.347412109375,-0.10999999940395355,1767.2667236328125,4,0,1,0,2799;2800;2801;2802;2803;2804;2805,0:2799;2800;2801;2804|1:2799;2800;2803;2804;2805|2:2799;2800;2802;2803;2804|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
461,637.0261840820312,-0.10999999940395355,1405.041259765625,1,0,0,0,,0:,0:
466,3081.35986328125,-0.10999999940395355,1947.5333251953125,4,0,1,0,2831;2832;2833;2834;2835;2836;2837,0:2831;2832;2834;2835|1:2831;2832;2833;2835;2836|2:2831;2832;2835;2836;2837|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
479,626.7813720703125,-0.10999999940395355,1631.642333984375,3,0,1,0,2911;2912;2913;2914;2915,0:2911;2912;2913;2914|1:2911;2912;2914;2915|2:,"0:4,4,16|1:4,0,24|2:2,2,2"
480,3150.274169921875,-0.10999999940395355,2502.882568359375,4,0,1,0,2919;2920;2921;2922;2923;2924;2925;2926,0:2922;2923;2924;2926|1:2920;2922;2923;2925;2926|2:2919;2920;2921;2922;2923;2926|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
481,777.6038208007812,-0.10999999940395355,1668.2021484375,4,0,1,0,2930;2931;2932;2933;2934;2935,0:2931;2934;2935|1:2930;2931;2932;2935|2:2931;2932;2933;2935|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
497,2002.235107421875,-0.10999999940395355,2044.3848876953125,2,0,1,0,3020;3021;3022,0:|1:3020;3021;3022,"0:2,2|1:4,4"
509,2587.568359375,-0.10999999940395355,2061.430908203125,4,0,1,0,3070;3071;3072;3073;3074;3075;3076,0:3074;3075;3076|1:3070;3071;3073;3074;3075|2:3070;3071;3072;3074;3075|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
519,846.8596801757812,-0.10999999940395355,2096.89892578125,6,0,1,0,3181;3182;3183;3184;3185;3186;3187;3188;3189;3190;3191;3192;3193;3194;3195,0:3183;3184;3192;3193|1:3182;3183;3184;3185;3191;3192;3193;3194|2:3181;3182;3185;3191;3194;3195|3:3186;3187;3190|4:3182;3185;3186;3187;3190;3191;3194|5:3182;3185;3188;3189;3191;3194,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
532,2610.7373046875,-0.10999999940395355,1739.0152587890625,4,0,1,0,3308;3309;3310;3311;3312;3313;3314;3315,0:3308;3311;3312|1:3308;3309;3310;3311;3313;3314|2:3308;3311;3313;3314;3315|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
536,1411.252685546875,-0.10999999940395355,1768.1014404296875,4,0,1,0,3333;3334;3335;3336;3337;3338;3339,0:3333;3334;3335;3338|1:3333;3334;3337;3338;3339|2:3333;3334;3336;3337;3338|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
551,553.1268310546875,-0.10999999940395355,1570.8590087890625,4,0,1,0,3452;3453;3454;3455;3456;3457;3458;3459;3460;3461;3462,0:3452;3453;3454;3455;3456|1:3452;3454;3455;3456;3457;3458;3460|2:3452;3454;3455;3456;3459;3460;3461;3462|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
554,1400.00439453125,-0.10999999940395355,2235.2861328125,6,0,1,0,3480;3481;3482;3483;3484;3485;3486;3487;3488;3489;3490;3491;3492;3493,0:3480;3482;3484|1:3480;3481;3482;3484;3485;3487;3490|2:3481;3483;3485;3486;3487;3490|3:3489;3491;3493|4:3481;3485;3487;3489;3490;3491;3493|5:3481;3485;3487;3488;3490;3492,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
559,3758.962890625,-0.10999999940395355,1634.88525390625,2,0,1,0,3515;3516;3517,0:|1:3515;3516;3517,"0:2,2|1:4,4"
579,2586.04833984375,-0.10999999940395355,2483.0009765625,6,0,1,0,3629;3630;3631;3632;3633;3634;3635;3636;3637;3638;3639;3640;3641;3642,0:3632;3635;3637|1:3629;3632;3633;3635;3636;3637;3640|2:3629;3633;3634;3636;3638;3640|3:3631;3639;3641|4:3629;3631;3633;3636;3639;3640;3641|5:3629;3630;3633;3636;3640;3642,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
639,1208.4046630859375,-0.10999999940395355,1484.023193359375,4,0,1,0,4025;4026;4027;4028;4029;4030;4031,0:4025;4027;4028;4029|1:4025;4026;4028;4030|2:4025;4028;4030;4031|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
654,3749.426025390625,-0.10999999940395355,2339.898193359375,2,0,1,0,4105;4106;4107,0:|1:4105;4106;4107,"0:2,2|1:4,4"
663,3017.37548828125,-0.10999999940395355,1604.4012451171875,4,0,1,0,4149;4150;4151;4152;4153;4154;4155,0:4152;4154;4155|1:4149;4151;4152;4153;4154|2:4149;4150;4152;4154|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
672,1478.814208984375,-0.10999999940395355,2052.623046875,4,0,1,0,4210;4211;4212;4213;4214;4215;4216,0:4213;4214;4216|1:4211;4213;4215;4216|2:4210;4211;4212;4213;4216|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
675,2777.07373046875,-0.10999999940395355,1740.45849609375,2,0,1,0,4232;4233;4234;4235,0:|1:4232;4233;4234;4235,"0:2,2|1:4,4"
707,733.5656127929688,-0.10999999940395355,2214.6123046875,4,0,1,0,4395;4396;4397;4398;4399;4400;4401,0:4396;4400;4401|1:4395;4396;4397;4398;4401|2:4396;4397;4398;4399;4401|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
709,1332.00048828125,-0.10999999940395355,1591.392578125,4,0,1,0,4420;4421;4422;4423;4424;4425;4426,0:4420;4421;4422|1:4420;4422;4423;4424;4426|2:4420;4422;4425;4426|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
723,2790.826904296875,-0.10999999940395355,2322.9169921875,2,0,1,0,4506;4507;4508,0:|1:4506;4507;4508,"0:2,2|1:4,4"
729,2788.75830078125,-0.10999999940395355,2482.2490234375,4,0,1,0,4543;4544;4545;4546;4547;4548;4549,0:4543;4544;4548|1:4543;4545;4547;4548;4549|2:4543;4545;4546;4547;4548|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
739,2306.43798828125,-0.10999999940395355,1758.694580078125,4,0,1,0,4651;4652;4653;4654;4655;4656;4657;4658,0:4651;4652;4653;4657|1:4651;4652;4655;4657;4658|2:4651;4652;4654;4655;4656;4657|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
770,2438.42529296875,-0.10999999940395355,1757.2158203125,4,0,1,0,4907;4908;4909;4910;4911;4912;4913;4914;4915,0:4907;4908;4909;4913|1:4907;4908;4911;4913;4914;4915|2:4907;4908;4910;4911;4912;4913|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
785,1296.1815185546875,-0.10999999940395355,1901.1910400390625,3,0,1,0,4998;4999;5000;5001;5002,0:4998;4999;5000;5001|1:4998;4999;5001;5002|2:,"0:4,4,16|1:4,0,24|2:2,2,2"
796,2772.076171875,-0.10999999940395355,2063.068603515625,2,0,1,0,5082;5083;5084,0:|1:5082;5083;5084,"0:2,2|1:4,4"
801,1690.441650390625,-0.10999999940395355,2496.4296875,2,0,1,0,5097;5098;5099;5100,0:|1:5097;5098;5099;5100,"0:2,2|1:16,8"
803,2586.84716796875,-0.10999999940395355,2232.674072265625,6,0,1,0,5105;5106;5107;5108;5109;5110;5111;5112;5113;5114;5115;5116;5117;5118,0:5105;5107;5109|1:5105;5106;5107;5109;5111;5112;5116|2:5106;5108;5110;5111;5112;5116|3:5113;5115;5118|4:5106;5111;5112;5113;5115;5116;5118|5:5106;5111;5112;5114;5116;5117,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
816,3422.87158203125,-0.10999999940395355,1813.18505859375,4,0,1,0,5199;5200;5201;5202;5203;5204;5205,0:5199;5200;5204|1:5199;5202;5204;5205|2:5199;5201;5202;5203;5204|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
827,2307.785400390625,-0.10999999940395355,2495.20166015625,4,0,1,0,5280;5281;5282;5283;5284;5285;5286,0:5281;5285;5286|1:5280;5281;5282;5286|2:5281;5282;5283;5284;5286|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
856,1561.69775390625,-0.06636500358581543,1268.4237060546875,4,0,1,0,5474;5475;5476;5477;5478;5479;5480;5481,0:5478;5480;5481|1:5474;5475;5477;5478;5479;5480|2:5474;5475;5476;5478;5480|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
857,1428.2196044921875,-0.10999999940395355,2475.308837890625,6,0,1,0,5485;5486;5487;5488;5489;5490;5491;5492;5493;5494;5495;5496;5497,0:5489;5493|1:5485;5489;5490;5492;5493;5496|2:5485;5488;5490;5491;5492;5494;5496|3:5487;5495|4:5485;5487;5490;5492;5495;5496|5:5485;5486;5490;5492;5496;5497,"0:2,16,2,8|1:4,16,16,24|2:4,20,16,24|3:8,2,16,2|4:12,16,16,16|5:12,16,24,16"
866,3355.5732421875,-0.10999999940395355,1811.857421875,4,0,1,0,5533;5534;5535;5536;5537;5538;5539,0:5536;5537;5538;5539|1:5533;5535;5536;5537|2:5533;5534;5536;5537|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
882,3747.897216796875,-0.10999999940395355,1530.2843017578125,6,0,1,0,5679;5680;5681;5682;5683;5684;5685;5686;5687;5688;5689;5690;5691;5692,0:5680;5682;5690|1:5679;5680;5682;5683;5689;5690;5691|2:5679;5681;5683;5689;5691;5692|3:5684;5685;5688|4:5679;5683;5684;5685;5688;5689;5691|5:5679;5683;5686;5687;5689;5691,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
914,765.2191162109375,-0.10999999940395355,1469.05810546875,3,0,1,0,5913;5914;5915;5916;5917,0:5913;5914;5915;5917|1:5913;5914;5916;5917|2:,"0:12,16,0|1:4,20,0|2:2,2,2"
915,1572.0224609375,-0.10999999940395355,2035.6710205078125,4,0,1,0,5921;5922;5923;5924;5925;5926;5927,0:5921;5922;5923;5924|1:5922;5924;5925;5927|2:5922;5924;5926;5927|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
933,3340.35498046875,-0.10999999940395355,1701.7259521484375,4,0,1,0,6018;6019;6020;6021;6022;6023;6024;6025;6026,0:6018;6019;6020;6021;6025|1:6018;6019;6020;6023;6025;6026|2:6018;6019;6020;6022;6023;6024;6025|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
961,1188.390869140625,-0.10999999940395355,2027.6331787109375,2,0,1,0,6211;6212;6213,0:6211;6212;6213|1:,"0:16,0,20|1:2,2,2"
964,2587.53857421875,-0.10999999940395355,2681.4091796875,4,0,1,0,6238;6239;6240;6241;6242;6243;6244;6245,0:6242;6244;6245|1:6238;6239;6241;6242;6243;6244|2:6238;6239;6240;6242;6244|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
975,2312.421875,-0.10999999940395355,2717.490478515625,4,0,1,0,6326;6327;6328;6329;6330;6331;6332;6333,0:6330;6332;6333|1:6326;6327;6329;6330;6331;6332|2:6326;6327;6328;6330;6332|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
976,3608.67041015625,-0.10999999940395355,1590.68798828125,6,0,1,0,6337;6338;6339;6340;6341;6342;6343;6344;6345;6346;6347;6348;6349;6350,0:6337;6340;6342|1:6337;6339;6340;6341;6342;6344;6347|2:6338;6339;6341;6343;6344;6347|3:6346;6348;6350|4:6339;6341;6344;6346;6347;6348;6350|5:6339;6341;6344;6345;6347;6349,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
993,1410.49267578125,-0.06636500358581543,2653.08984375,5,0,1,0,6455;6456;6457;6458;6459;6460;6461;6462,0:6455;6456;6457;6458;6459|1:6456;6458;6459;6460;6461|2:6456;6458;6459;6461;6462|3:|4:6455;6457;6458;6459,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,0|4:4,4,0"
1022,1589.083740234375,-0.10999999940395355,2244.38330078125,6,0,1,0,6682;6683;6684;6685;6686;6687;6688;6689;6690;6691;6692;6693;6694;6695,0:6682;6685;6687|1:6682;6684;6685;6686;6687;6689;6692|2:6683;6684;6686;6688;6689;6692|3:6691;6693;6695|4:6684;6686;6689;6691;6692;6693;6695|5:6684;6686;6689;6690;6692;6694,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
1060,3362.72998046875,-0.05000000074505806,2150.79443359375,4,0,1,0,6919;6920;6921;6922;6923;6924;6925;6926,0:6919;6920;6921;6924;6925|1:6919;6922;6924;6925;6926|2:6919;6922;6923;6924;6925|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
1082,2150.97998046875,-0.10999999940395355,1760.427001953125,4,0,1,0,7039;7040;7041;7042;7043;7044;7045;7046,0:7039;7040;7041;7045|1:7039;7040;7043;7045;7046|2:7039;7040;7042;7043;7044;7045|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
1096,2153.4677734375,-0.10999999940395355,2322.861083984375,2,0,1,0,7103;7104;7105,0:|1:7103;7104;7105,"0:2,2|1:4,4"
1100,3932.64306640625,-0.10999999940395355,2391.865478515625,2,0,1,0,7119;7120;7121;7122,0:|1:7119;7120;7121;7122,"0:2,2|1:4,4"
1105,3299.060546875,-0.10999999940395355,998.65966796875,2,0,1,0,7136;7137;7138,0:|1:7136;7137;7138,"0:2,2|1:4,4"
1109,3026.025146484375,-0.10999999940395355,1178.5865478515625,2,0,1,0,7155;7156;7157,0:|1:7155;7156;7157,"0:2,2|1:4,4"
1124,3523.074462890625,-0.10999999940395355,2417.92822265625,6,0,1,0,7235;7236;7237;7238;7239;7240;7241;7242;7243;7244;7245;7246;7247;7248,0:7235;7237;7239|1:7235;7236;7237;7239;7241;7243;7245|2:7236;7238;7240;7241;7243;7245|3:7244;7246;7248|4:7236;7241;7243;7244;7245;7246;7248|5:7236;7241;7242;7243;7245;7247,"0:0,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,0,4,2|4:20,16,20,16|5:24,16,24,16"
1137,1824.5947265625,-0.10999999940395355,2050.957763671875,4,0,1,0,7321;7322;7323;7324;7325;7326;7327,0:7321;7322;7323|1:7321;7323;7324;7325;7327|2:7321;7323;7325;7326;7327|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1148,2301.22412109375,-0.10999999940395355,2578.420654296875,4,0,1,0,7400;7401;7402;7403;7404;7405;7406,0:7400;7401;7402|1:7400;7402;7403;7404;7406|2:7400;7402;7404;7405;7406|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1191,865.0404663085938,-0.10999999940395355,1740.727294921875,2,0,1,0,7661;7662,0:|1:7661;7662,"0:2,2|1:4,4"
1202,3860.73828125,-0.10999999940395355,2537.87939453125,4,0,1,0,7738;7739;7740;7741;7742;7743;7744;7745,0:7742;7744;7745|1:7738;7739;7741;7742;7743;7744|2:7738;7739;7740;7742;7744|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1207,1116.9827880859375,-0.10999999940395355,2093.2578125,6,0,1,0,7767;7768;7769;7770;7771;7772;7773;7774;7775;7776,0:7776|1:7768;7774;7775;7776|2:7768;7773;7774;7775|3:7767;7769;7771|4:7767;7768;7769;7771;7773;7775|5:7768;7770;7772;7773;7775,"0:2,4,2,0|1:16,28,0,0|2:16,24,16,0|3:4,2,4,2|4:20,16,20,0|5:24,16,24,0"
1208,3665.273681640625,-0.10999999940395355,1985.570556640625,4,0,1,0,7783;7784;7785;7786;7787;7788;7789,0:7784;7787;7788;7789|1:7783;7784;7785;7787;7789|2:7784;7785;7786;7787;7789|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
1220,1000.699951171875,-0.10814999788999557,1306.04541015625,4,0,1,0,7854;7855;7856;7857;7858;7859;7860,0:7856;7857;7858;7860|1:7855;7856;7859;7860|2:7854;7855;7856;7860|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
1222,1239.430419921875,-0.10999999940395355,2168.80517578125,2,0,1,0,7867;7868;7869,0:|1:7867;7868;7869,"0:2,2|1:4,4"
1250,1456.30322265625,-0.10999999940395355,1439.039306640625,4,0,1,0,8052;8053;8054;8055;8056;8057;8058,0:8052;8053;8056|1:8052;8055;8056;8057;8058|2:8052;8054;8055;8056|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1256,2436.72265625,-0.10999999940395355,2039.38525390625,4,0,1,0,8089;8090;8091;8092;8093;8094;8095,0:8089;8090;8091;8092|1:8090;8092;8093;8094|2:8090;8092;8094;8095|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
1260,3709.30712890625,-0.10999999940395355,2478.924560546875,6,0,1,0,8108;8109;8110;8111;8112;8113;8114;8115;8116;8117;8118;8119;8120;8121,0:8108;8110;8112|1:8108;8109;8110;8112;8113;8115;8120|2:8109;8111;8113;8114;8115;8120|3:8116;8118;8121|4:8109;8113;8115;8116;8118;8120;8121|5:8109;8113;8115;8117;8119;8120,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
1276,535.6932373046875,-0.10999999940395355,1831.585205078125,4,0,1,0,8209;8210;8211;8212;8213;8214;8215,0:8212;8214;8215|1:8209;8211;8212;8213;8214|2:8209;8210;8212;8214|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1288,1073.4801025390625,-0.10999999940395355,1370.595703125,4,0,1,0,8282;8283;8284;8285;8286;8287;8288,0:8283;8287;8288|1:8282;8283;8284;8285;8287|2:8283;8284;8285;8286;8287|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1321,4100.79638671875,-0.10999999940395355,1792.905029296875,4,0,1,0,8475;8476;8477;8478;8479;8480;8481;8482,0:8479;8481;8482|1:8475;8476;8478;8479;8480;8481|2:8475;8476;8477;8479;8481|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1353,794.0366821289062,-0.10999999940395355,1816.724853515625,4,0,1,0,8659;8660;8661;8662;8663;8664;8665,0:8660;8664;8665|1:8659;8660;8661;8662;8664|2:8660;8662;8663;8664|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1381,3459.752197265625,-0.10999999940395355,1292.088623046875,2,0,1,0,8819;8820;8821,0:|1:8819;8820;8821,"0:2,2|1:4,4"
1398,1573.60888671875,-0.10999999940395355,1767.3883056640625,4,0,1,0,8915;8916;8917;8918;8919;8920;8921,0:8915;8916;8917;8920|1:8915;8916;8919;8920;8921|2:8915;8916;8918;8919;8920|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
1408,1907.9974365234375,-0.06448999792337418,2717.59521484375,5,0,1,0,8982;8983;8984;8985;8986;8987;8988;8989,0:8982;8983;8985;8986;8987|1:8982;8983;8984;8986;8988|2:8982;8983;8986;8988;8989|3:|4:8982;8983;8985;8987,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,0|4:4,4,0"
1418,3540.19921875,-0.10999999940395355,1075.1070556640625,2,0,1,0,9019;9020;9021,0:|1:9019;9020;9021,"0:2,2|1:4,4"
1433,2430.47998046875,-0.10999999940395355,1357.96826171875,4,0,1,0,9092;9093;9094;9095;9096;9097;9098,0:9092;9093;9094;9095|1:9092;9094;9095;9096;9098|2:9092;9094;9095;9097;9098|3:,"0:16,12,0|1:24,4,16|2:16,4,20|3:2,2,2"
1438,3378.593017578125,-0.10999999940395355,2361.853759765625,4,0,1,0,9142;9143;9144;9145;9146;9147;9148,0:9142;9143;9145;9146|1:9142;9143;9144;9146;9147|2:9142;9143;9146;9147;9148|3:,"0:4,20,0|1:12,16,16|2:4,16,24|3:2,2,2"
1442,2004.6263427734375,-0.10999999940395355,2235.20458984375,2,0,1,0,9175;9176;9177,0:|1:9175;9176;9177,"0:2,2|1:4,4"
1483,1723.809814453125,-0.10999999940395355,2236.47705078125,2,0,1,0,9447;9448;9449,0:|1:9447;9448;9449,"0:2,2|1:4,4"
1488,2994.93408203125,-0.10999999940395355,1496.474853515625,2,0,1,0,9479;9480;9481,0:|1:9479;9480;9481,"0:2,2|1:4,4"
1489,1406.818115234375,-0.10999999940395355,1992.3062744140625,6,0,1,0,9483;9484;9485;9486;9487;9488;9489;9490;9491;9492;9493;9494;9495;9496,0:9484;9489;9491|1:9484;9485;9486;9489;9490;9491;9494|2:9483;9485;9486;9490;9492;9494|3:9488;9493;9496|4:9485;9486;9488;9490;9493;9494;9496|5:9485;9486;9487;9490;9494;9495,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16"
1493,4052.015625,-0.10999999940395355,2004.0760498046875,4,0,1,0,9513;9514;9515;9516;9517;9518;9519;9520,0:9517;9519;9520|1:9513;9514;9516;9517;9518;9519|2:9513;9514;9515;9517;9519|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1506,3033.762939453125,-0.10989999771118164,1725.659912109375,7,0,1,0,9616;9617;9618;9619;9620;9621;9622;9623;9624;9625;9626;9627;9628;9629,0:9624;9626;9629|1:9617;9621;9623;9624;9626;9628;9629|2:9617;9621;9623;9625;9627;9628|3:9616;9618;9620|4:9616;9617;9618;9620;9621;9623;9628|5:9617;9619;9621;9622;9623;9628|6:9616;9618;9620,"0:2,4,2,4|1:16,20,16,20|2:16,24,16,24|3:4,2,4,2|4:20,16,20,16|5:24,16,24,16|6:4,2,4,2"
1509,2306.109375,-0.10999999940395355,2034.0775146484375,4,0,1,0,9649;9650;9651;9652;9653;9654;9655,0:9650;9654;9655|1:9649;9650;9651;9652;9655|2:9650;9652;9653;9655|3:,"0:16,24,0|1:20,16,4|2:16,16,12|3:2,2,2"
1520,1227.9501953125,-0.10999999940395355,2623.254150390625,2,0,1,0,9715;9716;9717;9718,0:|1:9715;9716;9717;9718,"0:2,2|1:4,4"
