lane_id,start_x,start_y,start_z,end_x,end_y,end_z,length,zone_index,speed_limit,next_lanes,left_lane,right_lane,width,tag_names,avg_next_speed,non_alley_next,non_alley_last,flags,merging_lanes,splitting_lanes,last_lanes
10,633.440186,-0.110000,1375.387329,626.786011,-0.110000,1432.205078,57.254490,0,9.722222,7303,-1,-1,50.0000,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,129,9,,9615
11,601.702759,-0.105000,1384.839966,638.135803,-0.110000,1434.059570,78.517883,1,9.722222,7299,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,2081,17,12;13;14;15;16,1736
12,601.702759,-0.105000,1384.839966,644.057251,-0.110000,1435.027100,85.071259,1,9.722222,7298,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,2081,18,11;13;14;15;16,1736
13,601.702759,-0.105000,1384.839966,668.944946,-0.110000,1412.035400,73.718925,1,9.722222,7115,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,33,19,11;12;14;15;16,1736
14,601.702759,-0.105000,1384.839966,670.192383,-0.110000,1407.193115,72.231316,1,9.722222,7114,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,33,20,11;12;13;15;16,1736
15,601.702759,-0.105000,1384.839966,621.962158,-0.110000,1374.677002,26.906002,1,9.722222,9612,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,4129,21,11;12;13;14;16,1736;2638
16,601.702759,-0.105000,1384.839966,615.973572,-0.110000,1374.306274,24.168207,1,9.722222,9613,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,12321,22,11;12;13;14;15,1736;2638
17,600.621948,-0.105000,1388.691284,638.135864,-0.110000,1434.059570,75.216660,1,9.722222,7299,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,2081,11,18;19;20;21;22,1735
18,600.621948,-0.105000,1388.691284,644.057251,-0.110000,1435.027100,81.918846,1,9.722222,7298,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,2081,12,17;19;20;21;22,1735
19,600.621948,-0.105000,1388.691284,668.944946,-0.110000,1412.035400,72.524178,1,9.722222,7115,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,33,13,17;18;20;21;22,1735
20,600.621948,-0.105000,1388.691284,670.192383,-0.110000,1407.193115,72.011604,1,9.722222,7114,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,33,14,17;18;19;21;22,1735
21,600.621948,-0.105000,1388.691284,621.962158,-0.110000,1374.677002,32.167984,1,9.722222,9612,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,4129,15,17;18;19;20;22,1735;2638
22,600.621948,-0.105000,1388.691284,615.973633,-0.110000,1374.306274,28.537611,1,9.722222,9613,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,4129,16,17;18;19;20;21,1735;2635;2638
23,609.515381,-0.110000,1429.383057,602.414062,-0.105000,1395.064575,39.293949,1,9.722222,12479,26,-1,6.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,4129,25;27;29;31,24,7301
24,609.515381,-0.110000,1429.383057,601.342163,-0.105000,1398.918335,35.551323,1,9.722222,12478,25,-1,6.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,12321,26;28;30;32,23,7301
25,615.436829,-0.110000,1430.350586,602.414062,-0.105000,1395.064697,42.459816,1,9.722222,12479,-1,24,6.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,4129,23;27;29;31,26,7300
26,615.436829,-0.110000,1430.350586,601.342163,-0.105000,1398.918335,38.713066,1,9.722222,12478,-1,23,6.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,4129,24;28;30;32,25,7300
27,667.323242,-0.110000,1418.330200,602.414062,-0.105000,1395.064575,69.107864,1,9.722222,12479,-1,-1,5.0003,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,33,23;25;29;31,28,7116;7455
28,667.323242,-0.110000,1418.330200,601.342163,-0.105000,1398.918335,68.794777,1,9.722222,12478,-1,-1,5.0003,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,33,24;26;30;32,27,7116;7455
29,650.906738,-0.110000,1376.468384,602.414062,-0.105000,1395.064575,62.264114,1,9.722222,12479,32,-1,6.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,2081,23;25;27;31,30,9610
30,650.906738,-0.110000,1376.468384,601.342163,-0.105000,1398.918335,64.911316,1,9.722222,12478,31,-1,6.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,2081,24;26;28;32,29,9610
31,644.918274,-0.110000,1376.097900,602.414062,-0.105000,1395.064575,55.555523,1,9.722222,12479,-1,30,6.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,2081,23;25;27;29,32,9611
32,644.918274,-0.110000,1376.097900,601.342163,-0.105000,1398.918335,58.219170,1,9.722222,12478,-1,29,6.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,2081,24;26;28;30,31,9611
33,626.785217,-0.110000,1432.211914,601.878113,-0.105000,1396.991455,50.669781,1,9.722222,12480,39,-1,50.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,4257,35;38,34,
34,626.785217,-0.110000,1432.211914,601.162354,-0.105000,1386.765625,63.966759,1,9.722222,1737,-1,-1,50.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,4257,36;37;39,33,
35,633.440186,-0.110000,1375.387085,601.878113,-0.105000,1396.991455,44.039059,1,9.722222,12480,-1,-1,50.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,2209,33;38,36,9615
36,633.440186,-0.110000,1375.387085,601.162354,-0.105000,1386.765625,41.075371,1,9.722222,1737,-1,-1,50.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,2209,34;37;39,35,8;2817;9615
37,601.878113,-0.105000,1396.991455,601.162354,-0.105000,1386.765625,93.835228,1,9.722222,1737,-1,-1,8.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,4257,34;36;39,,2624;2625;2626;2627;2628;2629;2634;2639
38,668.757812,-0.110000,1412.761719,601.878113,-0.105000,1396.991455,68.742668,1,9.722222,12480,-1,-1,25.5010,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,161,33;35,39,
39,668.757812,-0.110000,1412.761719,601.162354,-0.105000,1386.765625,73.279800,1,9.722222,1737,-1,-1,25.5010,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,161,34;36;37,38,
40,-567.958740,0.000000,-785.822632,-565.314392,-0.022220,-807.780579,26.884914,2,9.722222,,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,4129,,41;42;43,1106;1108
41,-567.958740,0.000000,-785.822632,-569.702026,-0.021900,-805.290649,24.062168,2,9.722222,,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,12321,,40;42;43,49;1106;1108
42,-567.958740,0.000000,-785.822632,-536.234558,-0.038080,-781.899658,39.410721,2,9.722222,,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,2081,,40;41;43,1106;1108
43,-567.958740,0.000000,-785.822632,-532.253113,-0.038170,-784.924255,45.172344,2,9.722222,,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,10273,,40;41;42,1106;1108
44,-542.206726,-0.037950,-777.362793,-565.739990,0.000000,-782.494385,26.820154,2,9.722222,1107,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,4129,45;46;47,,
45,-546.188171,-0.037860,-774.338196,-565.739990,0.000000,-782.494385,24.097509,2,9.722222,1107,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,12321,44;46;47,,
46,-554.345337,-0.023050,-814.005310,-565.739990,0.000000,-782.494385,38.832573,2,9.722222,1107,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,10273,44;45;47,,
47,-558.732971,-0.022720,-811.515381,-565.739990,0.000000,-782.494385,34.016678,2,9.722222,1107,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,2081,44;45;46,,
48,-562.023682,-0.022470,-809.647949,-566.849365,0.000000,-784.158508,30.228111,2,9.722222,1107,-1,-1,22.5000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,10401,49,,
49,-539.220642,-0.038020,-779.631226,-566.849365,0.000000,-784.158508,33.086872,2,9.722222,41;1107,-1,-1,22.5000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,4257,48,,
50,3722.110596,-0.077020,1253.926025,3754.357178,-0.077020,1256.780762,32.372700,3,9.722222,9667,51,-1,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley|OneWayStreet,9.7222,0,0,24618,,,4820
51,3721.758057,-0.077020,1257.910400,3754.004639,-0.077020,1260.765137,32.372700,3,9.722222,9668;9669,-1,50,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley|OneWayStreet,9.7222,0,0,16426,,,4819
52,3721.934326,-0.077020,1255.918213,3754.180908,-0.077020,1258.772949,32.372700,3,9.722222,9673;9674;9675,-1,50,8.0000,Vehicle|City|VehicleAlley|OneWayStreet|CenterGuideRoad,0.0000,0,0,8354,,,
53,-914.951294,-0.000060,-1446.895874,-936.179749,0.001750,-1420.547363,35.862930,4,9.722222,816,55,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,2049,58,54,837
54,-914.951294,-0.000060,-1446.895874,-895.693604,-0.010000,-1395.427246,55.207748,4,9.722222,4698,56,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,8193,,53,837
55,-919.872437,0.000040,-1446.011353,-938.613586,0.003490,-1424.915039,29.939596,4,9.722222,817,-1,53,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,2049,,56,838
56,-919.872437,0.000040,-1446.011353,-900.045837,-0.010000,-1392.965942,56.891647,4,9.722222,4699,-1,54,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,1,,55,838
57,-910.926392,-0.010000,-1386.812744,-932.175293,0.000280,-1443.800171,60.960739,4,9.722222,840,59,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,1,,58,4701
58,-910.926392,-0.010000,-1386.812744,-936.179749,0.001750,-1420.547363,46.218090,4,9.722222,816,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,12289,53,57,4701
59,-906.574158,-0.010000,-1389.274048,-927.254150,0.000180,-1444.684692,59.281551,4,9.722222,839,-1,57,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,1,,60;61;62,4700
60,-906.574158,-0.010000,-1389.274048,-881.608337,0.000000,-1407.095093,49.163799,4,9.722222,1090,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,2049,,59;61;62,4700
61,-906.574158,-0.010000,-1389.274048,-880.249756,0.000000,-1411.906982,52.355522,4,9.722222,1091,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,2049,,59;60;62,4700
62,-906.574158,-0.010000,-1389.274048,-878.891174,0.000000,-1416.718872,53.282909,4,9.722222,1092,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad,9.7222,1,1,2049,,59;60;61,4700
63,-923.563293,0.000110,-1445.348022,-937.396667,0.002620,-1422.731201,28.039265,4,9.722222,818,-1,-1,22.5000,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,2177,,64;65,841
64,-923.563293,0.000110,-1445.348022,-903.309998,-0.010000,-1391.119995,58.154591,4,9.722222,4702,-1,-1,22.5000,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,129,66,63;65,841
65,-923.563293,0.000110,-1445.348022,-880.249756,0.000000,-1411.906982,57.414291,4,9.722222,1091,-1,-1,22.5000,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,4225,67;68,63;64,841
66,-937.396667,0.002620,-1422.731201,-903.309998,-0.010000,-1391.119995,50.759136,4,9.722222,4702,-1,-1,10.0000,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,2177,64,67,
67,-937.396667,0.002620,-1422.731201,-880.249756,0.000000,-1411.906982,59.975994,4,9.722222,1091,-1,-1,10.0000,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,2177,65;68,66,
68,-903.309998,-0.010000,-1391.119995,-880.249756,0.000000,-1411.906982,36.006489,4,9.722222,,-1,-1,22.5000,Vehicle|Intersection|City|CenterGuideRoad,0.0000,2,2,2177,65;67,,
69,2858.463623,-0.110000,1215.176758,2848.597412,0.000450,1224.582764,18.694553,5,9.722222,431,-1,-1,5.1000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,12321,70;71,,
70,2858.990723,-0.110000,1210.149170,2848.597412,0.000450,1224.582764,22.210602,5,9.722222,431,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,4129,69;71,,
71,2840.582764,-0.110000,1203.807129,2848.597412,0.000450,1224.582764,27.071756,5,9.722222,431,-1,-1,5.1000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,10273,69;70,,
72,2840.206299,-0.110000,1208.843140,2848.597412,0.000450,1224.582764,20.849449,5,9.722222,432,-1,-1,15.2000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,2209,73,,
73,2858.998047,-0.110000,1210.149658,2848.597412,0.000450,1224.582764,22.219021,5,9.722222,432,-1,-1,15.2000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,12449,72,,
74,3201.100342,0.001240,2704.500000,3194.475342,-0.002020,2704.423584,6.625442,6,9.722222,799,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,33,79,76,1086
75,3194.475342,-0.002020,2704.423584,3201.100342,0.001240,2704.500000,6.625442,6,9.722222,1085,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,8225,77,78,798
76,3201.100342,0.001240,2704.500000,3198.239746,0.001240,2708.890137,6.005175,6,9.722222,132,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,12321,78,74,1086
77,3198.239746,0.001240,2708.890137,3201.100342,0.001240,2704.500000,6.005175,6,9.722222,1085,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,2081,75,79,133
78,3194.475342,-0.002020,2704.423584,3198.239746,0.001240,2708.890137,6.923586,6,9.722222,132,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,2081,76,75,798
79,3198.239746,0.001240,2708.890137,3194.475342,-0.002020,2704.423584,6.923585,6,9.722222,799,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,4129,74,77,133
80,3201.100342,0.001240,2704.500000,3198.239746,0.001240,2708.890137,6.005175,6,9.722222,134,-1,-1,4.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,12449,81,82,
81,3194.475342,-0.002020,2704.423584,3198.239746,0.001240,2708.890137,6.923586,6,9.722222,134,-1,-1,4.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,10401,80,,800
82,3201.100342,0.001240,2704.500000,3194.475342,-0.002020,2704.423584,6.625442,6,9.722222,799,-1,-1,4.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,161,,80,
83,3058.780029,0.001240,2729.139893,3130.177734,-0.004230,2729.849854,71.401237,7,9.722222,207,-1,-1,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley,9.7222,0,0,24608,,,2958;2960
84,3130.177734,-0.004230,2729.849854,3058.780029,0.001240,2729.139893,71.401237,7,9.722222,2959;2961,-1,-1,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley,9.7222,0,0,24608,,,209;210
85,3058.780029,0.001240,2729.139893,3130.177734,-0.004230,2729.849854,71.401237,7,9.722222,212,84,83,4.0000,Vehicle|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,8352,,,2962;2963
86,-887.782227,0.000000,-1406.211914,-793.698425,0.000000,-1238.781982,194.625916,8,9.722222,703;704;705;706,87,-1,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley,9.7222,0,0,26664,,,643;645
87,-889.439209,0.000000,-1402.571289,-797.694153,0.000000,-1238.965820,189.838242,8,9.722222,707;708;709;710,-1,86,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley,9.7222,0,0,18472,,,642;644
88,-888.610718,0.000000,-1404.391602,-795.696289,0.000000,-1238.873901,192.232071,8,9.722222,719,-1,86,8.0000,Vehicle|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,10408,,,646;647;648
89,1901.803711,-0.110000,2552.210938,1901.833862,-0.110000,2519.384033,32.826920,9,9.722222,,90,-1,5.0000,Vehicle|City|VehicleShoulder,0.0000,0,0,8728,,,
90,1906.803711,-0.110000,2552.215332,1906.833862,-0.110000,2519.388428,32.826920,9,9.722222,10100;7977;7978,91,89,5.0000,Vehicle|City|CapillaryRoad,9.7222,1,2,24584,,,13637;13644
91,1911.803711,-0.110000,2552.219971,1911.833862,-0.110000,2519.393066,32.826920,9,9.722222,10101;7979;7980,-1,90,5.0000,Vehicle|City|CapillaryRoad,9.7222,1,2,16392,,,13639;13649
92,1918.333862,-0.110000,2519.399170,1918.303711,-0.110000,2552.226074,32.826920,9,9.722222,13641;13642;13643,-1,93,5.0000,Vehicle|City|CapillaryRoad,9.7222,3,1,24584,,,7971;7974;10102
93,1923.333862,-0.110000,2519.403564,1923.303711,-0.110000,2552.230469,32.826920,9,9.722222,,92,-1,5.0000,Vehicle|City|VehicleShoulder,0.0000,0,0,8728,,,
94,1912.553711,-0.110000,2552.220703,1912.583862,-0.110000,2519.393799,32.826920,9,9.722222,10103;7983;7984,93,89,26.5000,Vehicle|City|CenterGuideRoad,0.0000,4,4,8320,,,13655
95,1214.293091,-0.110000,1709.637939,1232.270996,-0.110000,1706.285156,19.758265,10,9.722222,,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,4129,,96;97,7143;7145
96,1214.293091,-0.110000,1709.637939,1228.606323,-0.110000,1703.089111,16.745378,10,9.722222,,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,12321,,95;97,102;7143;7145
97,1214.293091,-0.110000,1709.637939,1219.617065,-0.110000,1729.349121,24.999651,10,9.722222,,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,1,0,10273,,95;96,7143;7145
98,1236.497803,-0.110000,1709.977539,1214.293091,-0.110000,1709.637939,23.677486,10,9.722222,7144,-1,-1,4.7250,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,10273,99;100,,
99,1211.759399,-0.110000,1722.421875,1214.293091,-0.110000,1709.637939,16.501558,10,9.722222,7144,-1,-1,4.7250,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,12321,98;100,,
100,1215.410767,-0.110000,1725.633057,1214.293091,-0.110000,1709.637939,20.444569,10,9.722222,7144,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,1,4129,98;99,,
101,1232.552612,-0.110000,1706.532715,1214.293091,-0.110000,1709.637939,20.010630,10,9.722222,7144,-1,-1,15.2000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,2209,102,,
102,1215.689941,-0.110000,1725.883423,1214.293091,-0.110000,1709.637939,20.751053,10,9.722222,96;7144,-1,-1,15.2000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,1,1,4257,101,,
103,3151.844238,0.000460,1753.365112,3164.121826,-0.110000,1758.139893,15.139202,11,9.722222,1394,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,2081,107,104,9963
104,3151.844238,0.000460,1753.365112,3162.637451,-0.110000,1750.129883,11.852910,11,9.722222,4207,-1,-1,4.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,12321,106,103,9963
105,3164.121826,-0.110000,1758.139893,3152.568848,0.000460,1757.298950,13.420757,11,9.722222,9962,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,12321,108,106,1393
106,3164.121826,-0.110000,1758.139893,3162.637451,-0.110000,1750.129883,8.146387,11,9.722222,4207,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,33,104,105,1393
107,3162.637451,-0.110000,1750.129883,3164.121826,-0.110000,1758.139893,8.146387,11,9.722222,1394,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,8225,103,108,4208
108,3162.637451,-0.110000,1750.129883,3152.568848,0.000460,1757.298950,14.173706,11,9.722222,9962,-1,-1,5.0000,Vehicle|Intersection|City|CapillaryRoad|VehicleAlley,9.7222,0,0,2081,105,107,4208
109,3152.206543,0.000460,1755.332031,3162.646973,-0.110000,1758.413208,12.494732,11,9.722222,1394,-1,-1,8.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,2209,,110,
110,3152.206543,0.000460,1755.332031,3161.162598,-0.110000,1750.403076,11.529089,11,9.722222,4209,-1,-1,8.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,12449,111,109,
111,3162.646973,-0.110000,1758.413208,3161.162598,-0.110000,1750.403076,8.146507,11,9.722222,4209,-1,-1,8.0000,Vehicle|Intersection|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,161,110,,1395
112,2147.030029,-0.110000,2124.187744,2147.286133,-0.110000,2064.338623,59.849670,12,9.722222,11216;11217,113,-1,5.1000,Vehicle|City|CapillaryRoad,9.7222,2,1,24584,,,6173;11909
113,2152.080078,-0.110000,2124.209473,2152.336182,-0.110000,2064.360352,59.849670,12,9.722222,11218;11219,-1,112,5.0000,Vehicle|City|CapillaryRoad,9.7222,2,1,16392,,,6174;11910
114,2157.386230,-0.110000,2064.382080,2157.130127,-0.110000,2124.231201,59.849670,12,9.722222,11907;11908;6176,-1,-1,5.1000,Vehicle|City|CapillaryRoad,9.7222,2,3,24576,,,11212;11214;11222
115,2152.080078,-0.110000,2124.209473,2152.336182,-0.110000,2064.360352,59.849670,12,9.722222,11228;12251,114,112,15.2000,Vehicle|City|CenterGuideRoad,0.0000,4,4,8320,,,
116,993.920044,-0.084080,1728.229980,1001.397339,-0.079990,1719.054321,11.836497,13,9.722222,4363;4365,-1,-1,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley,9.7222,0,0,24608,,,466;468
117,1001.397339,-0.079990,1719.054321,993.920044,-0.084080,1728.229980,11.836497,13,9.722222,465;467,-1,-1,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley,9.7222,0,0,24608,,,4364;4366
118,993.920044,-0.084080,1728.229980,1001.397339,-0.079990,1719.054321,11.836497,13,9.722222,4369;4371,117,116,4.0000,Vehicle|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,8352,,,
119,4122.015137,-0.002000,780.661316,4127.077148,0.590000,775.315735,7.385775,14,9.722222,1300,-1,-1,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley,9.7222,0,0,24608,,,959;960;961;962
120,4129.981445,0.590000,778.066101,4124.919434,-0.002000,783.411682,7.385775,14,9.722222,955;956;957;958,-1,-1,4.0000,Vehicle|City|CapillaryRoad|VehicleAlley,9.7222,0,0,24608,,,1301
121,4123.467285,-0.002000,782.036499,4128.529297,0.590000,776.690918,7.385775,14,9.722222,1302,120,119,8.0000,Vehicle|City|VehicleAlley|CenterGuideRoad,0.0000,0,0,8352,,,963;964
122,2744.959961,-0.110000,1181.505737,2699.934326,-0.110000,1122.834595,74.411362,15,9.722222,1487,123,-1,5.1000,Vehicle|City|CapillaryRoad,9.7222,1,2,24584,,,12739;12742
123,2748.190430,-0.110000,1177.624146,2704.355957,-0.110000,1120.394897,72.530251,15,9.722222,1488,-1,122,5.0000,Vehicle|City|CapillaryRoad,9.7222,1,1,16392,,,12741
