index,x,y,z,forward_x,forward_z,urban_diversity_config_id,lane
98,3649.4851,0.0003,2038.2659,-0.027082,0.999633,88888231,38364
99,3641.0500,-0.0040,2125.8701,-0.723359,-0.690472,88888231,42117
100,3625.6560,0.0053,2137.6472,-0.754153,0.656698,88888231,37182
101,3629.1326,-0.0037,2159.3625,-1.000000,-0.000963,88888231,38069
102,3604.4924,0.0007,2146.1326,-0.856843,0.515577,88888231,36078
103,3500.7178,0.0007,2153.8728,-0.181796,-0.983336,88888231,40305
104,3453.5276,0.0006,2084.0059,-0.066531,-0.997784,88888231,39354
105,3449.6199,0.0007,1924.8619,-0.675316,-0.737528,88888232,40972
106,3541.0481,0.0000,1971.6472,-0.999970,0.007714,88888231,29697
107,3646.4180,0.0007,2003.6736,0.057507,0.998345,88888231,39753
108,3752.9109,0.0000,2001.5366,-0.999525,-0.030813,88888230,16947
109,3759.3296,0.0000,1923.8846,-0.032774,-0.999463,88888230,32715
110,3791.6890,0.0000,1771.4552,0.028118,0.999605,88888220,35878
111,3940.2510,0.0000,1795.9155,-0.999590,-0.028624,88888220,24730
112,3843.0542,-0.0168,1821.4771,0.059794,-0.998211,88888220,20103
113,3843.5459,-0.3033,1827.9961,0.396874,-0.917873,88888220,20108
114,3847.5044,-0.0158,1824.4799,0.219309,-0.975655,88888220,20113
115,3832.5630,-1.6072,1844.9033,0.942787,0.333394,88888220,27215
116,3925.5530,0.2292,1850.4139,-0.912677,-0.408681,88888221,17847
117,3818.0559,0.0000,1964.2885,0.999579,0.028998,88888221,17723
118,3795.4617,-1.6137,1816.6710,-0.999980,-0.006331,88888220,27352
119,3894.5610,-0.0063,2029.5533,0.975258,0.221071,88888221,16240
120,3792.3662,0.0002,2054.1289,0.004537,-0.999990,88888220,20667
121,3758.8267,0.0000,2115.5767,0.018009,-0.999838,88888230,27686
122,3756.7017,0.0000,2191.7627,0.998756,0.049871,88888210,37003
123,3731.6204,0.0000,2345.1985,0.529071,0.848578,88888210,24055
124,3770.9241,0.0000,2351.5696,0.971630,0.236506,88888220,27821
125,3781.0898,0.0070,2463.4099,0.943786,0.330558,88888220,40359
126,3737.4197,0.0000,2444.9370,0.306410,-0.951900,88888220,20122
127,3798.1641,0.0185,2498.5908,-0.941624,-0.336665,88888200,39613
128,3837.4126,0.0000,2539.6938,0.513807,-0.857906,88888200,23486
129,3848.4829,0.0000,2596.8594,-0.590673,0.806911,88888200,38057
130,3829.3645,0.0100,2636.4802,0.984090,-0.177673,88888200,41750
131,3765.4504,-0.0000,2709.2102,-0.516591,-0.856232,88888200,29636
132,3683.3767,0.0432,2733.3171,0.950491,-0.310751,88888200,15987
133,3682.1550,0.0000,2610.8760,-0.319852,0.947468,88888200,32367
134,3795.2366,0.0000,2597.5469,0.449387,-0.893337,88888200,36335
135,3763.7202,0.0104,2537.7048,-0.157327,0.987547,88888200,20777
136,3718.7903,0.0000,2501.8474,-0.319842,0.947471,88888200,26185
137,3716.9998,0.0101,2579.9404,-0.178650,-0.983913,88888200,34891
138,3722.2427,0.0104,2579.0835,-0.720955,0.692982,88888200,32668
139,3783.3447,0.0000,2517.2622,0.220820,0.975314,88888200,17425
140,3683.3804,0.0000,2481.6389,-0.945116,-0.326735,88888200,43109
141,3483.9880,0.0000,2459.5647,-0.929061,0.369927,88888200,25111
142,3216.0823,0.0000,2530.1111,-0.999123,-0.041867,88888200,17122
143,3405.2966,-0.0782,2569.3093,0.989332,-0.145681,88888200,30093
144,3537.6492,0.0000,2713.1394,0.994794,-0.101905,88888200,29436
145,3309.4155,0.0000,2665.6287,0.971157,0.238443,88888200,39319
146,3224.5952,0.0000,2692.4858,-0.997495,-0.070731,88888200,23835
147,3582.4180,-0.0782,2650.0676,0.419633,0.907694,88888200,29856
148,3575.4456,-0.0093,2615.9197,0.353325,-0.935501,88888200,34260
149,3658.8901,0.0000,2577.7668,0.319413,-0.947616,88888200,42522
150,3628.4512,0.0000,2668.0718,0.319414,-0.947615,88888200,22292
151,3593.8496,0.0004,2674.7061,-0.210503,0.977593,88888200,19268
152,3700.9573,0.0091,2762.4641,0.353808,-0.935318,88888200,17041
153,3792.5273,0.0100,2695.5005,0.409936,-0.912114,88888200,39295
154,3570.9067,-3.5955,2778.0676,-0.690109,-0.723705,88888200,36534
155,3692.1130,-3.5956,2783.6033,-0.991624,0.129161,88888200,42049
156,3836.6836,-3.5700,2680.1907,0.974975,-0.222314,88888200,24106
157,3890.7993,-3.5934,2596.3481,-0.245543,0.969386,88888200,43165
158,3903.7856,-3.8400,2576.2922,-0.579145,0.815225,88888200,41390
159,3904.1045,0.0000,2501.3721,-0.454070,0.890966,88888220,36867
160,3904.7373,0.0000,2404.9636,-0.421205,0.906966,88888220,43812
161,3919.3960,0.0000,2370.3555,0.403566,0.914951,88888220,35521
162,3877.2131,0.0000,2260.2405,-0.209708,0.977764,88888221,17862
163,3891.4270,0.0000,2199.8191,0.986710,0.162489,88888221,26689
164,3857.8176,-0.0040,2264.5776,0.130534,0.991444,88888220,19138
165,3800.2859,0.8880,2299.9812,0.918018,0.396538,88888220,16790
166,3825.6892,0.0000,2308.4358,-0.865603,0.500731,88888220,22260
167,3771.3357,0.0000,2314.4443,0.164496,-0.986378,88888220,15762
168,3786.6064,0.0000,2195.5645,0.083939,-0.996471,88888220,18274
169,3890.4939,0.0183,2113.8394,-0.189862,0.981811,88888221,16268
170,3907.1079,-0.0003,2115.1880,-0.209703,0.977765,88888221,15835
171,3971.8037,0.0000,2194.8113,-0.986716,-0.162453,88888221,18644
172,4038.5410,0.0000,2139.0237,-0.283931,0.958845,88888220,43599
173,4097.6836,-3.5985,2097.4800,0.271802,-0.962353,88888220,34484
174,4057.7156,-3.6000,2236.2209,-0.303291,-0.952898,88888220,36311
175,3995.9844,-3.6248,2415.6528,0.349711,-0.936858,88888220,37054
176,3987.6472,0.0000,2301.2190,-0.324232,0.945978,88888220,25611
177,3970.9878,0.0000,2220.7271,-0.312657,0.949866,88888220,18967
178,4080.6104,0.0100,2063.2698,-0.447933,-0.894067,88888220,40396
179,4060.1277,0.0000,2062.8975,-0.052376,0.998627,88888220,33801
180,4030.4712,0.0000,2017.3723,-0.270182,0.962809,88888221,38103
181,3955.7456,0.4592,1970.6509,0.998869,0.047554,88888221,18032
182,4052.4001,0.0055,1910.7267,0.369318,0.929303,88888220,18202
183,3962.5862,-0.0010,1875.0736,0.976823,0.214051,88888221,25643
184,3955.9299,-0.0010,1882.1178,0.342799,0.939409,88888221,28539
185,3949.2456,0.0000,1874.6143,0.163070,-0.986614,88888221,36841
186,3986.4805,0.0094,1799.1041,-0.017838,0.999841,88888221,25820
187,3988.3481,0.0001,1816.8439,-0.842566,-0.538593,88888221,39274
188,3966.5735,0.0002,1767.7324,0.148256,-0.988949,88888221,17687
189,4126.6670,0.0000,1781.1761,-0.971179,-0.238351,88888220,20935
190,4113.9097,0.0091,1672.8306,-0.991069,-0.133351,88888220,17519
191,4155.9297,0.0229,1534.4406,-0.956959,-0.290225,88888240,18828
192,4099.0874,-0.1100,1490.4207,-0.819465,0.573129,88888240,37937
193,4004.7546,-0.1100,1599.8475,0.964908,-0.262588,88888240,18061
194,3995.2888,0.0000,1561.7393,-0.115851,0.993267,88888240,16671
195,4072.1562,0.0000,1475.2556,-0.997993,-0.063319,88888240,27306
196,4075.9653,-0.0014,1525.9478,0.149249,-0.988800,88888240,16531
197,4011.5632,0.0032,1480.2567,-0.088648,0.996063,88888240,17769
198,4024.9985,0.0017,1573.6183,-0.965495,-0.260422,88888240,18552
199,4036.2395,0.0000,1440.0834,0.997852,0.065511,88888260,16815
200,4207.9966,0.0000,1509.9335,-0.290179,0.956972,88888240,43671
201,4118.5327,0.0053,1853.2950,-0.975201,-0.221321,88888220,35065
202,4139.0293,-3.5833,1843.3162,-0.233823,0.972279,88888220,41364
203,4136.3101,-3.5833,1960.3199,0.225042,-0.974349,88888220,38063
204,4089.9590,0.0000,1948.3618,-0.236625,0.971601,88888220,40372
205,4075.7075,0.0000,2004.7959,-0.265312,0.964162,88888220,34790
206,4081.2812,0.0000,1806.6414,-0.230100,0.973167,88888220,23834
207,4232.5898,0.0000,1460.5280,-0.952949,-0.303129,88888261,34324
208,4312.3413,-0.0447,1343.9604,-0.296932,0.954899,88888261,27353
209,4269.9570,0.0001,1362.8679,-0.286108,0.958197,88888261,35704
210,4255.0039,0.0100,1412.9482,-0.286150,0.958185,88888261,24851
211,4290.5747,0.0002,1247.0336,-0.073942,0.997263,88888261,41039
212,4269.0767,0.0000,1058.7222,0.204692,0.978826,88888261,21557
213,3488.1699,1.1291,724.7610,-0.875820,0.482638,88888240,29305
214,3428.2979,0.0000,803.4437,0.944924,-0.327290,88888240,37188
215,3426.8411,0.0576,856.4125,-0.384526,-0.923114,88888240,40301
216,3398.4187,0.0002,922.3393,-0.859380,0.511338,88888240,43249
217,3530.2437,0.0000,965.9018,0.823829,-0.566838,88888250,19171
218,3549.3828,0.0010,980.9488,0.222302,-0.974978,88888250,18487
219,3569.6492,0.0000,817.2310,0.174070,0.984733,88888240,17883
220,3571.3132,0.0000,690.9266,0.423334,0.905974,88888261,23022
221,3719.7268,0.0000,691.1566,-0.988806,0.149206,88888261,43218
222,4034.7544,-0.0770,900.0630,-0.956230,0.292616,88888260,16279
223,3985.1614,-0.0770,923.6643,-0.773439,0.633871,88888260,17040
224,3822.2603,-0.0770,930.0721,0.533841,0.845585,88888260,17270
225,3816.4629,-0.1050,994.6586,0.975396,-0.220462,88888260,16135
226,3856.9041,-0.1050,984.9077,0.998633,0.052269,88888260,18303
227,3742.4666,-0.0769,954.0538,-0.745575,0.666422,88888260,39742
228,3650.9875,-0.0770,841.1318,-0.390732,-0.920505,88888260,16118
229,3754.2400,8.2845,833.7399,-0.873484,-0.486854,88888260,17810
230,3802.1230,13.7049,852.6011,-0.616172,-0.787612,88888260,17275
231,3673.8291,-0.0770,784.7051,0.985141,-0.171745,88888260,18814
232,3669.9175,-0.0770,791.4676,0.985908,-0.167290,88888260,17067
233,3613.2756,0.0000,867.6914,0.221711,0.975112,88888240,27139
234,3559.8767,0.0000,1080.3707,-0.997129,0.075726,88888240,43516
235,3431.6753,0.0000,1066.0929,-0.993199,0.116428,88888250,18847
236,3615.1699,0.0000,1058.9500,-0.992088,0.125545,88888240,30734
237,3508.4619,0.0000,972.9148,0.402711,0.915327,88888250,23346
238,3426.9482,0.0026,949.0842,-0.279646,-0.960103,88888250,24434
239,3396.7737,9.9745,974.5543,0.961625,0.274368,88888250,34589
240,3416.1875,9.9746,1054.3492,-0.959419,-0.281985,88888250,43276
241,3425.3708,9.9747,1143.1329,-0.889044,0.457822,88888250,39415
242,3281.2517,9.9748,1179.8308,-0.785809,0.618469,88888250,43472
243,3288.3127,9.9749,1237.0353,0.969598,0.244703,88888250,37764
244,3511.6519,9.9744,1146.1367,0.104090,-0.994568,88888250,22946
245,3485.2683,0.0257,1187.0929,0.883559,-0.468320,88888250,31256
246,3443.9551,0.0257,1223.7313,0.882820,-0.469712,88888250,23906
247,3428.3501,0.0000,1235.7098,0.479452,0.877568,88888250,33914
248,3353.4277,0.0257,1256.4796,0.883708,-0.468039,88888250,34115
249,3267.9199,-0.0250,1263.8800,0.921452,0.388491,88888250,27256
250,3250.2361,0.0000,1284.8823,-0.231005,-0.972952,88888250,16655
251,3230.6001,0.0000,1165.1001,-0.493210,0.869910,88888250,31171
252,3339.3484,0.0000,1088.5681,-0.875373,0.483448,88888250,39583
253,3392.4182,-0.0101,1091.2010,0.480900,0.876775,88888250,18171
254,3452.8391,0.0000,1079.6908,0.999926,0.012154,88888250,25796
255,3435.3301,-0.0028,1185.7699,0.480893,0.876780,88888250,41417
256,3434.4849,0.0000,1217.1758,-0.406385,-0.913702,88888250,16851
257,3399.3999,-0.0240,1060.9188,-0.954452,-0.298363,88888250,30739
258,3323.8440,0.0000,1024.9083,-0.531821,-0.846857,88888250,21434
259,3353.5181,0.0000,1072.1583,-0.254853,0.966980,88888250,39249
260,3280.6201,0.0000,996.6799,-0.837005,0.547196,88888240,21555
261,3294.5300,0.0398,964.7549,-0.519946,-0.854199,88888240,26656
262,3258.2585,0.0000,812.3323,0.943152,-0.332360,88888240,22272
263,3230.7817,1.1291,813.5380,-0.899664,-0.436584,88888240,26248
264,3284.2209,-1.4131,771.1086,0.917589,0.397530,88888240,34209
265,3334.2896,-1.4131,749.9462,0.963192,-0.268816,88888240,43541
266,3389.0452,-1.4131,747.3867,-0.672617,-0.739990,88888240,37880
267,3404.0381,0.0000,768.7491,0.950940,-0.309375,88888240,41706
268,3353.0525,1.1292,775.5168,-0.572579,0.819850,88888240,26792
269,3309.8577,1.1291,787.9462,-0.957858,0.287243,88888240,30462
270,3439.7805,1.1292,734.0130,0.256250,-0.966611,88888240,42746
271,3534.3230,-1.3507,678.7455,0.877430,-0.479705,88888240,26999
272,3567.2637,1.1291,679.7520,-0.326006,0.945368,88888261,23066
273,3474.5530,-1.4131,705.8743,0.866965,-0.498368,88888240,40882
274,3437.3652,1.1292,749.2973,-0.933175,0.359422,88888240,29100
275,3504.0266,0.0000,724.1981,0.867789,-0.496933,88888240,23846
276,3162.8403,0.0000,859.3320,0.882997,-0.469379,88888240,39940
277,3107.3406,0.0000,936.6395,0.874528,-0.484976,88888190,28043
278,3143.5125,0.0000,952.9851,-0.854893,0.518804,88888190,22469
279,3165.5081,0.0000,1032.2651,0.239653,0.970859,88888190,41299
280,3192.6663,0.0002,1046.3389,-0.239753,-0.970834,88888240,33554
281,3207.9736,-0.0390,1071.6956,0.836926,-0.547316,88888250,35130
282,3173.3853,-0.0394,1094.4576,-0.832545,0.553958,88888190,31514
283,3024.3765,0.0000,1193.6046,-0.832405,0.554168,88888190,40232
284,2940.6865,0.0000,1204.1345,-0.023815,0.999716,88888190,43115
285,2807.3552,0.0000,1193.6575,0.988178,0.153312,88888190,40623
286,2748.2542,0.0000,1214.4927,-0.000024,1.000000,88888190,34935
287,2725.9856,0.0000,1172.0320,0.684087,0.729400,88888190,25831
288,2681.7805,-0.0188,1245.5009,0.339499,-0.940606,88888190,16198
289,2687.7866,-0.1033,1140.8438,-0.492271,0.870442,88888190,17535
290,2618.9819,0.1207,1153.4684,-0.256662,-0.966501,88888190,17142
291,2591.2554,0.3066,1156.5599,-0.941062,-0.338234,88888190,37807
292,2573.2175,0.1308,1197.4192,0.936392,0.350957,88888190,19017
293,2611.4414,-0.8361,1217.6934,0.999999,-0.001420,88888190,33517
294,2720.0166,0.0000,1124.9952,0.515571,0.856847,88888190,35756
295,2804.8389,0.0000,1081.8967,-0.947614,0.319419,88888190,33426
296,2894.2600,0.0200,1052.4442,0.525792,0.850613,88888190,32852
297,2854.9915,-0.0000,1176.9603,0.858199,-0.513317,88888190,32646
298,2818.9062,0.0300,1094.4785,0.998328,-0.057803,88888190,28412
299,2933.6726,-0.0876,1037.1492,0.874682,-0.484697,88888190,43977
300,3021.9043,-0.0400,1159.4545,-0.520832,-0.853659,88888190,42298
301,3010.1101,-0.0362,1167.0043,-0.520840,-0.853655,88888190,36739
302,3165.0000,-0.0353,1072.6001,-0.833641,0.552306,88888190,33565
303,2928.2991,0.0000,990.8633,0.458352,0.888771,88888192,39513
304,2984.8984,0.0000,1004.4030,0.877471,-0.479629,88888190,39750
305,3009.2646,0.0000,944.2686,0.873490,-0.486843,88888192,30743
306,3107.8516,-0.0072,880.8091,0.524097,0.851658,88888190,17836
307,3058.6108,0.0327,869.0607,-0.543941,0.839124,88888190,15879
308,3007.4409,-3.9072,837.0044,-0.525930,-0.850528,88888190,41091
309,3014.6016,-3.6268,854.8851,0.000000,-1.000000,88888190,28932
310,2986.0522,-3.8447,875.0060,-0.882088,0.471084,88888192,43846
311,3020.2986,-4.0091,844.3695,-0.994233,0.107243,88888190,28959
312,2990.9038,-3.7257,870.0485,0.795352,-0.606148,88888190,27718
313,3016.3281,-4.0239,839.8662,-0.548726,-0.836002,88888190,41103
314,3016.2615,-3.9939,848.6133,0.487447,-0.873153,88888190,28785
315,2932.9556,-4.4030,848.0682,-0.905548,0.424245,88888192,30022
316,2971.0491,-4.5092,828.3199,-0.927032,0.374982,88888190,30027
317,2881.3989,-4.2924,874.4379,0.828472,-0.560031,88888192,38018
318,2942.0652,-4.5282,842.0301,-0.900648,0.434549,88888192,30025
319,2956.3003,-4.4312,836.3171,-0.930653,0.365902,88888192,30023
320,2887.8376,-4.2464,871.7864,0.647510,-0.762057,88888192,37983
321,2911.4670,-3.9327,870.0635,0.878063,-0.478545,88888192,35239
322,2868.1106,-3.6530,935.3679,0.900012,-0.435865,88888192,31115
323,2767.0439,-4.3302,914.2928,0.999901,-0.014037,88888190,29208
324,2891.0396,-3.6731,883.8763,-0.971070,-0.238794,88888192,33030
325,2840.5867,-3.9474,904.7748,0.625650,-0.780104,88888192,23749
326,2817.7554,-4.2136,910.4958,0.988925,-0.148416,88888192,29206
327,2851.7217,-3.8326,900.9308,0.913383,-0.407102,88888192,21297
328,2796.7244,-4.3302,911.8760,0.994962,-0.100258,88888192,29204
329,2758.9045,-4.1754,912.5909,0.991136,-0.132848,88888190,29203
330,2847.0293,-3.8552,903.1593,-0.999781,0.020940,88888192,23610
331,2822.6672,-4.1047,907.2307,0.971729,-0.236100,88888192,29201
332,2784.4131,-4.2482,928.0223,-0.991942,-0.126697,88888192,27560
333,2851.8293,-3.6278,943.2497,-0.880531,-0.473989,88888192,26434
334,2805.0273,-4.0138,927.0291,-0.999952,-0.009787,88888192,27564
335,2814.8730,-3.9650,926.6541,-0.999910,-0.013440,88888192,27565
336,2755.0957,-4.2235,916.7334,0.646760,0.762694,88888190,18435
337,2989.6904,-3.8641,830.9768,0.819825,-0.572614,88888190,40836
338,3175.1672,-3.6910,802.9901,0.982522,-0.186148,88888240,29743
339,3097.8557,-3.8447,796.4787,0.982283,0.187402,88888240,34133
340,3166.1904,-4.5858,780.1442,0.993058,0.117629,88888240,34134
341,3117.9819,-4.0322,798.6699,0.978346,-0.206976,88888240,34135
342,3160.7622,-4.1619,781.6882,0.996526,0.083288,88888240,34138
343,3000.0903,-3.9697,821.0908,0.324042,-0.946043,88888190,22017
344,3158.8420,-2.8812,806.8026,0.995470,0.095074,88888240,29748
345,3135.2612,-3.8177,803.8215,0.981087,-0.193569,88888240,29744
346,3130.1030,-3.8558,805.8591,0.947911,-0.318535,88888240,29745
347,3189.7363,-4.0201,792.1442,-0.714065,-0.700080,88888240,29348
348,3083.0049,-3.9711,807.7137,0.919458,0.393188,88888190,29747
349,3077.5247,-3.9430,826.2714,0.884129,0.467242,88888190,20395
350,3097.1228,-3.7488,843.8641,-0.679214,-0.733940,88888190,25574
351,3092.5840,-3.7866,840.9893,-0.638620,-0.769522,88888190,25571
352,3069.9517,-3.8447,831.0583,0.969160,0.246433,88888190,20400
353,3006.5161,-3.8750,823.1391,-0.508110,-0.861292,88888190,21973
354,3002.2581,-3.9072,825.7642,0.573693,-0.819070,88888190,21837
355,2940.0005,0.0179,925.8076,0.877229,-0.480073,88888192,25021
356,3023.6995,0.0000,881.7767,0.556943,-0.830551,88888190,40495
357,2996.1575,0.0327,920.4223,-0.966431,0.256926,88888192,28108
358,2897.1912,0.0144,974.3318,0.871933,-0.489625,88888192,26562
359,2864.4724,0.0256,964.0380,0.907317,-0.420447,88888192,41674
360,2795.3301,0.0151,988.8499,0.942453,-0.334338,88888192,32386
361,2845.9531,0.0016,1016.1453,0.681692,-0.731639,88888192,43538
362,2909.8232,0.0000,997.8662,0.894810,-0.446448,88888192,27530
363,2737.8303,0.0000,1059.5083,0.959942,-0.280197,88888190,16526
364,2624.6279,0.0000,1016.9259,0.445761,0.895152,88888190,33893
365,2578.7356,-0.4140,1058.6593,-0.901311,0.433172,88888190,17204
366,2577.8411,0.0000,1081.2371,0.999148,-0.041274,88888190,42100
367,2385.5571,0.0000,1088.2955,0.984574,-0.174970,88888180,26306
368,2357.3093,-1.9900,1144.0427,-0.322326,-0.946629,88888181,18259
369,2298.6853,-0.0325,1161.5881,0.416101,0.909319,88888181,29306
370,2247.1399,0.0030,1182.2117,0.899354,-0.437221,88888181,26199
371,2077.3027,0.0031,1266.7380,0.904839,-0.425754,88888072,26193
372,2088.5786,-0.1015,1391.0382,-0.025627,0.999672,88888180,18507
373,2057.5698,0.0026,1275.9698,0.906516,-0.422171,88888072,34936
374,2001.6189,-0.1032,1362.5751,0.824075,0.566480,88888180,31281
